route_code,route_name,route_type,start_hour,trips_total,trips_completed,trips_canceled,avg_trip_duration_sec,avg_distance_m,avg_fare_amount
B006,Bus Line 6,bus,2025-12-08 22:00:00,5,5,0,1200.0,8034.4,6.55
B014,Bus Line 14,bus,2025-12-08 22:00:00,7,7,0,977.14,5662.43,2.38
B016,Bus Line 16,bus,2025-12-08 22:00:00,2,2,0,1860.0,5575.0,3.18
B017,Bus Line 17,bus,2025-12-08 22:00:00,3,3,0,1260.0,10896.67,18.37
B018,Bus Line 18,bus,2025-12-08 22:00:00,5,4,0,1764.0,7162.0,2.76
B024,Bus Line 24,bus,2025-12-08 22:00:00,3,3,0,1220.0,10275.67,7.31
B029,Bus Line 29,bus,2025-12-08 22:00:00,2,2,0,660.0,10826.5,19.47
B030,Bus Line 30,bus,2025-12-08 22:00:00,6,6,0,1820.0,6829.67,7.31
B031,Bus Line 31,bus,2025-12-08 22:00:00,2,2,0,2160.0,5317.0,2.94
B037,Bus Line 37,bus,2025-12-08 22:00:00,6,6,0,1900.0,6276.17,6.61
M001,Metro Line 1,metro,2025-12-08 22:00:00,9,9,0,1673.33,8689.67,2.72
M003,Metro Line 3,metro,2025-12-08 22:00:00,6,6,0,1250.0,6984.67,2.85
M004,Metro Line 4,metro,2025-12-08 22:00:00,1,1,0,540.0,6250.0,3.29
M005,Metro Line 5,metro,2025-12-08 22:00:00,1,1,0,2340.0,11940.0,3.31
M008,Metro Line 8,metro,2025-12-08 22:00:00,5,5,0,1656.0,6610.8,2.61
M009,Metro Line 9,metro,2025-12-08 22:00:00,4,4,0,1710.0,7814.25,2.56
M010,Metro Line 10,metro,2025-12-08 22:00:00,3,3,0,940.0,8981.67,18.1
M011,Metro Line 11,metro,2025-12-08 22:00:00,3,2,0,880.0,6222.33,18.74
M013,Metro Line 13,metro,2025-12-08 22:00:00,1,1,0,1920.0,13065.0,6.84
M015,Metro Line 15,metro,2025-12-08 22:00:00,7,7,0,1560.0,8359.14,6.3
M021,Metro Line 21,metro,2025-12-08 22:00:00,6,5,0,2130.0,7435.0,6.71
M022,Metro Line 22,metro,2025-12-08 22:00:00,3,3,0,1460.0,5092.67,7.17
M023,Metro Line 23,metro,2025-12-08 22:00:00,4,3,0,870.0,4832.5,2.9
M025,Metro Line 25,metro,2025-12-08 22:00:00,11,8,0,1298.18,8465.18,2.74
M026,Metro Line 26,metro,2025-12-08 22:00:00,9,7,0,1373.33,7005.78,2.57
M027,Metro Line 27,metro,2025-12-08 22:00:00,4,4,0,990.0,5768.75,21.73
M028,Metro Line 28,metro,2025-12-08 22:00:00,4,3,0,1620.0,5533.5,20.34
M033,Metro Line 33,metro,2025-12-08 22:00:00,3,3,0,1940.0,10229.0,2.6
M034,Metro Line 34,metro,2025-12-08 22:00:00,7,7,0,1465.71,7917.14,23.01
M036,Metro Line 36,metro,2025-12-08 22:00:00,3,2,0,960.0,7553.67,2.79
M040,Metro Line 40,metro,2025-12-08 22:00:00,3,3,0,1000.0,8143.67,6.6
T002,Tram Line 2,tram,2025-12-08 22:00:00,2,2,0,1020.0,4113.0,2.54
T007,Tram Line 7,tram,2025-12-08 22:00:00,6,5,0,1690.0,7794.17,2.69
T012,Tram Line 12,tram,2025-12-08 22:00:00,2,2,0,1140.0,4300.0,17.46
T019,Tram Line 19,tram,2025-12-08 22:00:00,6,4,0,1630.0,7351.83,2.74
T020,Tram Line 20,tram,2025-12-08 22:00:00,5,5,0,1668.0,7508.0,20.63
T032,Tram Line 32,tram,2025-12-08 22:00:00,3,3,0,700.0,8593.67,7.18
T035,Tram Line 35,tram,2025-12-08 22:00:00,5,3,0,1968.0,4935.2,23.91
T038,Tram Line 38,tram,2025-12-08 22:00:00,2,2,0,930.0,7288.0,3.02
T039,Tram Line 39,tram,2025-12-08 22:00:00,5,4,0,1404.0,6750.4,18.93
B006,Bus Line 6,bus,2025-12-08 21:00:00,8,8,0,975.0,7450.5,6.83
B014,Bus Line 14,bus,2025-12-08 21:00:00,2,2,0,2010.0,7882.5,2.71
